,topic
0,"0.031*""부모"" + 0.019*""정신"" + 0.018*""경찰"" + 0.013*""체포"" + 0.013*""신분"" + 0.013*""책임"" + 0.011*""댓글"" + 0.010*""중국"" + 0.010*""결과"" + 0.010*""벌금"""
1,"0.024*""사회"" + 0.019*""사람"" + 0.015*""거부"" + 0.012*""치료"" + 0.011*""도망"" + 0.011*""한동훈"" + 0.010*""배달"" + 0.009*""진짜"" + 0.008*""문제"" + 0.008*""등"""
2,"0.035*""장난"" + 0.028*""처벌"" + 0.026*""살인"" + 0.021*""사형"" + 0.016*""범죄"" + 0.015*""사람"" + 0.015*""부모"" + 0.014*""생각"" + 0.012*""저런"" + 0.012*""경찰"""
3,"0.035*""게임"" + 0.018*""요즘"" + 0.016*""생각"" + 0.016*""짓"" + 0.013*""촉법"" + 0.010*""무슨"" + 0.010*""유행"" + 0.009*""고생"" + 0.008*""진짜"" + 0.008*""사람"""
4,"0.018*""칼"" + 0.015*""사살"" + 0.011*""기자"" + 0.011*""총기"" + 0.011*""현장"" + 0.010*""생활"" + 0.010*""이면"" + 0.009*""기사"" + 0.009*""무기"" + 0.008*""칼부림"""
5,"0.067*""경찰"" + 0.028*""범죄자"" + 0.024*""세상"" + 0.022*""인권"" + 0.021*""나라"" + 0.018*""법"" + 0.016*""진짜"" + 0.012*""총"" + 0.011*""한국"" + 0.011*""칼"""
6,"0.021*""공개"" + 0.017*""사형"" + 0.016*""얼굴"" + 0.012*""중국"" + 0.011*""보고"" + 0.011*""범"" + 0.011*""범죄"" + 0.009*""칼부림"" + 0.009*""해"" + 0.009*""추방"""
7,"0.013*""세금"" + 0.013*""경찰"" + 0.013*""난동"" + 0.012*""사람"" + 0.012*""시민"" + 0.011*""말"" + 0.011*""인권"" + 0.011*""이해"" + 0.011*""일베"" + 0.010*""가해자"""
8,"0.038*""사형"" + 0.033*""나라"" + 0.021*""잘못"" + 0.018*""경찰"" + 0.017*""신고"" + 0.010*""검"" + 0.009*""부모"" + 0.009*""꼴"" + 0.008*""사과"" + 0.007*""확인"""
9,"0.050*""법"" + 0.038*""인권"" + 0.023*""국민"" + 0.018*""범죄자"" + 0.017*""사람"" + 0.013*""부활"" + 0.011*""사형제"" + 0.011*""대한민국"" + 0.011*""위"" + 0.011*""판사"""
10,"0.028*""사람"" + 0.028*""그냥"" + 0.021*""경찰"" + 0.020*""정당방위"" + 0.015*""칼"" + 0.013*""흉기"" + 0.012*""가족"" + 0.012*""사회"" + 0.011*""말"" + 0.009*""사건"""
11,"0.019*""학생"" + 0.018*""정신병"" + 0.018*""학교"" + 0.016*""아이"" + 0.015*""사과"" + 0.014*""치료"" + 0.010*""조현병"" + 0.010*""강제"" + 0.010*""장난"" + 0.009*""입원"""
